dataset,num_edges,num_triangles,num_nodes
amazon0302,1799584,717719,262111
amazon0312,4699738,3686467,400727
amazon0505,4878874,3951063,410236
amazon0601,4886816,3986507,403394
as-caida20071105,106762,36365,26475
as20000102,25144,6584,6474
ca-AstroPh,396100,1351441,18772
ca-CondMat,186878,173361,23133
ca-GrQc,28968,48260,5242
ca-HepPh,236978,3358499,12008
ca-HepTh,51946,28339,9877
cit-HepPh,841754,1276868,34546
cit-HepTh,704570,1478735,27770
cit-HepTh-dates,38488,1418,18996
cit-Patents,33037894,7515023,3774768
email-Enron,367662,727044,36692
email-EuAll,728962,267313,265214
loc-brightkite_edges,428156,494728,58228
loc-gowalla_edges,1900654,2273138,196591
oregon1_010331,44004,17144,10670
oregon1_010407,43998,15834,10729
oregon1_010414,44938,18237,10790
oregon1_010421,45494,19108,10859
oregon1_010428,44986,17645,10886
oregon1_010505,45214,17597,10943
oregon1_010512,45354,17598,11011
oregon1_010519,45448,17677,11051
oregon1_010526,46818,19894,11174
oregon2_010331,62360,82856,10900
oregon2_010407,61710,78138,10981
oregon2_010414,63522,88905,11019
oregon2_010421,63076,82129,11080
oregon2_010428,62868,78000,11113
oregon2_010505,61886,72182,11157
oregon2_010512,62606,72866,11260
oregon2_010519,64574,83709,11375
oregon2_010526,65460,89541,11461
p2p-Gnutella04,79988,934,10876
p2p-Gnutella05,63678,1112,8846
p2p-Gnutella06,63050,1142,8717
p2p-Gnutella08,41554,2383,6301
p2p-Gnutella09,52026,2354,8114
p2p-Gnutella24,130738,986,26518
p2p-Gnutella25,109410,806,22687
p2p-Gnutella30,176656,1590,36682
p2p-Gnutella31,295784,2024,62586
roadNet-CA,5533214,120676,1965206
roadNet-PA,3083796,67150,1088092
roadNet-TX,3843320,82869,1379917
soc-Epinions1,811480,1624481,75879
soc-sign-epinions,1422420,4910076,131828
soc-sign-Slashdot081106,937108,548054,77350
soc-sign-Slashdot090216,995344,570569,81867
soc-sign-Slashdot090221,1000962,579565,82140
soc-Slashdot0811,938360,551724,77360
soc-Slashdot0902,1008460,602592,82168
web-Google,8644102,13391903,875713
web-NotreDame,2180216,8910005,325729
wiki-Vote,201524,608389,7115
friendster,1806067135,4173724142,65608367
graph500-scale22-ef16,128194008,2067392370,2396657
graph500-scale18-ef16,7600696,82287285,174147
graph500-scale23-ef16,129250705,4549133002,4606314
graph500-scale24-ef16,260261843,0,8860450
graph500-scale25-ef16,523602831,0,17062472
test_graph2,36,12,20
com-lj.ungraph,34681189,177820130,3997962
orkut,117184899,627577371,3072441
graph500-scale19-ef16,7729675,186288972,335319
graph500-scale20-ef16,15680861,419349784,645821
graph500-scale21-ef16,13731650,935100883,1243073
com_orkut_ungraph,117185083,627584181,3072441
Theory-3-4-5-9-16-25,13824000,35882427,530400
livejournal,49174464,310874541,5204176
